Z210;P2-13A;PW935503-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12105;223210008306
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12105;223210008306
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Setting;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Dented;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Cutting NG;1.000;PCS;Shamratul Nahar Mohammad;2023-10-21;2023-10-10;IPS12101;223210008306
